"Time","avg Z (stats)"
0.2,80.004
0.4,80.0153
0.6,80.0327
0.8,80.0575
1,80.0928
1.2,80.127
1.4,80.1625
1.6,80.198
1.8,80.231
2,80.2605
2.2,80.2845
2.4,80.3025
2.6,80.3138
2.8,80.3178
3,80.3155
3.2,80.307
3.4,80.293
3.6,80.2753
3.8,80.2533
4,80.2293
4.2,80.2035
4.4,80.1768
4.6,80.15
4.8,80.1228
5,80.0955
5.2,80.069
5.4,80.0425
5.6,80.0155
5.8,79.989
6,79.9613
6.2,79.933
6.4,79.9033
6.6,79.8715
6.8,79.838
7,79.8033
7.2,79.7678
7.4,79.7323
7.6,79.6987
7.8,79.6693
8,79.6467
8.2,79.6327
8.4,79.6308
8.6,79.6432
8.8,79.6733
9,79.722
9.2,79.7915
9.4,79.8808
9.6,79.9883
9.8,80.1068
10,80.2292
10.2,80.3447
10.4,80.4435
10.6,80.5155
10.8,80.5545
11,80.5563
11.2,80.5215
11.4,80.4525
11.6,80.3555
11.8,80.2367
12,80.1053
12.2,79.9688
12.4,79.8355
12.6,79.713
12.8,79.6075
13,79.5237
13.2,79.4665
13.4,79.4382
13.6,79.4415
13.8,79.477
14,79.544
14.2,79.6408
14.4,79.7633
14.6,79.9058
14.8,80.0592
15,80.2125
15.2,80.354
15.4,80.4712
15.6,80.5568
15.8,80.6017
16,80.6055
16.2,80.5683
16.4,80.4937
16.6,80.389
16.8,80.2617
17,80.1213
17.2,79.9757
17.4,79.8338
17.6,79.7037
17.8,79.5912
18,79.5025
18.2,79.4415
18.4,79.4117
18.6,79.4158
18.8,79.4545
19,79.527
19.2,79.6317
19.4,79.7648
19.6,79.9182
19.8,80.082
20,80.2445
20.2,80.3927
20.4,80.5145
20.6,80.6005
20.8,80.6442
21,80.6437
21.2,80.6005
21.4,80.5198
21.6,80.4085
21.8,80.2757
22,80.131
22.2,79.9825
22.4,79.8398
22.6,79.7092
22.8,79.5975
23,79.5095
23.2,79.4502
23.4,79.4222
23.6,79.4283
23.8,79.4688
24,79.544
24.2,79.6513
24.4,79.7865
24.6,79.9417
24.8,80.1077
25,80.2717
25.2,80.421
25.4,80.5435
25.6,80.6307
25.8,80.6763
26,80.6783
26.2,80.638
26.4,80.5613
26.6,80.4545
26.8,80.3267
27,80.187
27.2,80.0432
27.4,79.904
27.6,79.7763
27.8,79.6657
28,79.5785
28.2,79.5178
28.4,79.4885
28.6,79.4917
28.8,79.53
29,79.602
29.2,79.706
29.4,79.8377
29.6,79.9907
29.8,80.1547
30,80.3177
30.2,80.467
30.4,80.5912
30.6,80.6803
30.8,80.7288
31,80.734
31.2,80.6975
31.4,80.6238
31.6,80.5197
31.8,80.3932
32,80.2535
32.2,80.109
32.4,79.9675
32.6,79.8368
32.8,79.7223
33,79.6298
33.2,79.5645
33.4,79.5292
33.6,79.5278
33.8,79.56
34,79.627
34.2,79.7273
34.4,79.8557
34.6,80.0063
34.8,80.1685
35,80.3302
35.2,80.4793
35.4,80.6032
35.6,80.6925
35.8,80.7397
36,80.7428
36.2,80.7027
36.4,80.624
36.6,80.5133
36.8,80.3792
37,80.2303
37.2,80.0758
37.4,79.924
37.6,79.7825
37.8,79.6582
38,79.557
38.2,79.418
38.4,79.4107
38.6,79.4397
38.8,79.5047
39,79.6043
39.2,79.734
39.4,79.888
39.6,79.8945
39.8,80.0527
40,80.211
40.2,80.356
40.4,80.4767
40.6,80.5625
40.8,80.6075
41,80.6082
41.2,80.566
41.4,80.4858
41.6,80.3732
